Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
Generation	Total Cells	Plasmid	Donors	Recipients	Empty	Antibiotic	Percentage	
821	2500	0	1610	890	0	0	0.644	
822	2500	0	1614	886	0	0	0.6456	
823	2500	0	1618	882	0	0	0.6472	
824	2500	0	1618	882	0	0	0.6472	
825	2500	0	1619	881	0	0	0.6476	
826	2500	0	1623	877	0	0	0.6492	
827	2500	0	1625	875	0	0	0.65	
828	2500	0	1630	870	0	0	0.652	
829	2500	0	1634	866	0	0	0.6536	
830	2500	0	1634	866	0	0	0.6536	
831	2500	0	1638	862	0	0	0.6552	
832	2500	0	1639	861	0	0	0.6556	
833	2500	0	1644	856	0	0	0.6576	
834	2500	0	1651	849	0	0	0.6604	
835	2500	0	1656	844	0	0	0.6624	
836	2500	0	1658	842	0	0	0.6632	
837	2500	0	1661	839	0	0	0.6644	
838	2500	0	1665	835	0	0	0.666	
839	2500	0	1671	829	0	0	0.6684	
840	2500	0	1676	824	0	0	0.6704	
841	2500	0	1681	819	0	0	0.6724	
842	2500	0	1688	812	0	0	0.6752	
843	2500	0	1692	808	0	0	0.6768	
844	2500	0	1694	806	0	0	0.6776	
845	2500	0	1699	801	0	0	0.6796	
846	2500	0	1705	795	0	0	0.682	
847	2500	0	1707	793	0	0	0.6828	
848	2500	0	1709	791	0	0	0.6836	
849	2500	0	1715	785	0	0	0.686	
850	2500	0	1719	781	0	0	0.6876	
851	2500	0	1722	778	0	0	0.6888	
852	2500	0	1726	774	0	0	0.6904	
853	2500	0	1727	773	0	0	0.6908	
854	2500	0	1728	772	0	0	0.6912	
855	2500	0	1730	770	0	0	0.692	
856	2500	0	1733	767	0	0	0.6932	
857	2500	0	1733	767	0	0	0.6932	
858	2500	0	1735	765	0	0	0.694	
859	2500	0	1739	761	0	0	0.6956	
860	2500	0	1746	754	0	0	0.6984	
861	2500	0	1750	750	0	0	0.7	
862	2500	0	1755	745	0	0	0.702	
863	2500	0	1760	740	0	0	0.704	
864	2500	0	1765	735	0	0	0.706	
865	2500	0	1771	729	0	0	0.7084	
866	2500	0	1772	728	0	0	0.7088	
867	2500	0	1776	724	0	0	0.7104	
868	2500	0	1780	720	0	0	0.712	
869	2500	0	1786	714	0	0	0.7144	
870	2500	0	1796	704	0	0	0.7184	
871	2500	0	1801	699	0	0	0.7204	
872	2500	0	1805	695	0	0	0.722	
873	2500	0	1808	692	0	0	0.7232	
874	2500	0	1810	690	0	0	0.724	
875	2500	0	1815	685	0	0	0.726	
876	2500	0	1817	683	0	0	0.7268	
877	2500	0	1820	680	0	0	0.728	
878	2500	0	1827	673	0	0	0.7308	
879	2500	0	1835	665	0	0	0.734	
880	2500	0	1836	664	0	0	0.7344	
881	2500	0	1839	661	0	0	0.7356	
882	2500	0	1842	658	0	0	0.7368	
883	2500	0	1844	656	0	0	0.7376	
884	2500	0	1851	649	0	0	0.7404	
885	2500	0	1855	645	0	0	0.742	
886	2500	0	1859	641	0	0	0.7436	
887	2500	0	1862	638	0	0	0.7448	
888	2500	0	1871	629	0	0	0.7484	
889	2500	0	1874	626	0	0	0.7496	
890	2500	0	1880	620	0	0	0.752	
891	2500	0	1883	617	0	0	0.7532	
892	2500	0	1884	616	0	0	0.7536	
893	2500	0	1888	612	0	0	0.7552	
894	2500	0	1892	608	0	0	0.7568	
895	2500	0	1896	604	0	0	0.7584	
896	2500	0	1907	593	0	0	0.7628	
897	2500	0	1912	588	0	0	0.7648	
898	2500	0	1913	587	0	0	0.7652	
899	2500	0	1916	584	0	0	0.7664	
900	2500	0	1916	584	0	0	0.7664	
901	2500	0	1920	580	0	0	0.768	
902	2500	0	1925	575	0	0	0.77	
903	2500	0	1929	571	0	0	0.7716	
904	2500	0	1931	569	0	0	0.7724	
905	2500	0	1939	561	0	0	0.7756	
906	2500	0	1942	558	0	0	0.7768	
907	2500	0	1943	557	0	0	0.7772	
908	2500	0	1945	555	0	0	0.778	
909	2500	0	1947	553	0	0	0.7788	
910	2500	0	1952	548	0	0	0.7808	
911	2500	0	1956	544	0	0	0.7824	
912	2500	0	1959	541	0	0	0.7836	
913	2500	0	1964	536	0	0	0.7856	
914	2500	0	1969	531	0	0	0.7876	
915	2500	0	1977	523	0	0	0.7908	
916	2500	0	1982	518	0	0	0.7928	
917	2500	0	1986	514	0	0	0.7944	
918	2500	0	1990	510	0	0	0.796	
919	2500	0	1995	505	0	0	0.798	
920	2500	0	2001	499	0	0	0.8004	
921	2500	0	2002	498	0	0	0.8008	
922	2500	0	2006	494	0	0	0.8024	
923	2500	0	2008	492	0	0	0.8032	
924	2500	0	2008	492	0	0	0.8032	
925	2500	0	2010	490	0	0	0.804	
926	2500	0	2013	487	0	0	0.8052	
927	2500	0	2013	487	0	0	0.8052	
928	2500	0	2014	486	0	0	0.8056	
929	2500	0	2017	483	0	0	0.8068	
930	2500	0	2018	482	0	0	0.8072	
931	2500	0	2022	478	0	0	0.8088	
932	2500	0	2027	473	0	0	0.8108	
933	2500	0	2028	472	0	0	0.8112	
934	2500	0	2031	469	0	0	0.8124	
935	2500	0	2038	462	0	0	0.8152	
936	2500	0	2043	457	0	0	0.8172	
937	2500	0	2048	452	0	0	0.8192	
938	2500	0	2050	450	0	0	0.82	
939	2500	0	2054	446	0	0	0.8216	
940	2500	0	2060	440	0	0	0.824	
941	2500	0	2061	439	0	0	0.8244	
942	2500	0	2065	435	0	0	0.826	
943	2500	0	2066	434	0	0	0.8264	
944	2500	0	2071	429	0	0	0.8284	
945	2500	0	2075	425	0	0	0.83	
946	2500	0	2077	423	0	0	0.8308	
947	2500	0	2082	418	0	0	0.8328	
948	2500	0	2082	418	0	0	0.8328	
949	2500	0	2084	416	0	0	0.8336	
950	2500	0	2090	410	0	0	0.836	
951	2500	0	2098	402	0	0	0.8392	
952	2500	0	2099	401	0	0	0.8396	
953	2500	0	2100	400	0	0	0.84	
954	2500	0	2101	399	0	0	0.8404	
955	2500	0	2102	398	0	0	0.8408	
956	2500	0	2104	396	0	0	0.8416	
957	2500	0	2104	396	0	0	0.8416	
958	2500	0	2105	395	0	0	0.842	
959	2500	0	2107	393	0	0	0.8428	
960	2500	0	2109	391	0	0	0.8436	
961	2500	0	2110	390	0	0	0.844	
962	2500	0	2115	385	0	0	0.846	
963	2500	0	2119	381	0	0	0.8476	
964	2500	0	2125	375	0	0	0.85	
965	2500	0	2127	373	0	0	0.8508	
966	2500	0	2128	372	0	0	0.8512	
967	2500	0	2133	367	0	0	0.8532	
968	2500	0	2136	364	0	0	0.8544	
969	2500	0	2136	364	0	0	0.8544	
970	2500	0	2136	364	0	0	0.8544	
971	2500	0	2142	358	0	0	0.8568	
972	2500	0	2144	356	0	0	0.8576	
973	2500	0	2145	355	0	0	0.858	
974	2500	0	2146	354	0	0	0.8584	
975	2500	0	2147	353	0	0	0.8588	
976	2500	0	2148	352	0	0	0.8592	
977	2500	0	2149	351	0	0	0.8596	
978	2500	0	2149	351	0	0	0.8596	
979	2500	0	2149	351	0	0	0.8596	
980	2500	0	2152	348	0	0	0.8608	
981	2500	0	2153	347	0	0	0.8612	
982	2500	0	2155	345	0	0	0.862	
983	2500	0	2156	344	0	0	0.8624	
984	2500	0	2156	344	0	0	0.8624	
985	2500	0	2162	338	0	0	0.8648	
986	2500	0	2163	337	0	0	0.8652	
987	2500	0	2166	334	0	0	0.8664	
988	2500	0	2168	332	0	0	0.8672	
989	2500	0	2170	330	0	0	0.868	
990	2500	0	2172	328	0	0	0.8688	
991	2500	0	2172	328	0	0	0.8688	
992	2500	0	2174	326	0	0	0.8696	
993	2500	0	2174	326	0	0	0.8696	
994	2500	0	2174	326	0	0	0.8696	
995	2500	0	2176	324	0	0	0.8704	
996	2500	0	2180	320	0	0	0.872	
997	2500	0	2183	317	0	0	0.8732	
998	2500	0	2183	317	0	0	0.8732	
999	2500	0	2185	315	0	0	0.874	
1000	2500	0	2186	314	0	0	0.8744	
1001	2500	0	2188	312	0	0	0.8752	
1002	2500	0	2190	310	0	0	0.876	
